,A -> Singletons,B -> Singletons,H -> Singletons,S_count,A_count,B_count,H_count,U_count,A_count_perc,B_count_perc,H_count_perc,U_count_perc,S_count_perc
RIL_1,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0,0.0,1.0,0.0,0.0,0.0
RIL_2,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0
RIL_3,0.0,0.0,5.0,5.0,106.0,0.0,0.0,8,0.8907563025210085,0.0,0.0,0.06722689075630252,0.04201680672268908
RIL_4,0.0,2.0,0.0,2.0,114.0,0.0,0.0,3,0.957983193277311,0.0,0.0,0.025210084033613446,0.01680672268907563
RIL_5,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0,0.0,1.0,0.0,0.0,0.0
RIL_6,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0
RIL_7,0.0,0.0,1.0,1.0,0.0,117.0,0.0,1,0.0,0.9831932773109243,0.0,0.008403361344537815,0.008403361344537815
RIL_10,6.0,9.0,6.0,21.0,34.0,3.0,37.0,24,0.2857142857142857,0.025210084033613446,0.31092436974789917,0.20168067226890757,0.17647058823529413
RIL_11,0.0,0.0,1.0,1.0,117.0,0.0,0.0,1,0.9831932773109243,0.0,0.0,0.008403361344537815,0.008403361344537815
RIL_12,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0
RIL_13,0.0,0.0,1.0,1.0,0.0,117.0,0.0,1,0.0,0.9831932773109243,0.0,0.008403361344537815,0.008403361344537815
RIL_14,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0
RIL_16,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0,0.0,1.0,0.0,0.0,0.0
RIL_18,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0
RIL_19,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0
RIL_20,1.0,0.0,1.0,2.0,0.0,117.0,0.0,0,0.0,0.9831932773109243,0.0,0.0,0.01680672268907563
RIL_21,0.0,0.0,1.0,1.0,116.0,0.0,0.0,2,0.9747899159663865,0.0,0.0,0.01680672268907563,0.008403361344537815
RIL_22,0.0,0.0,5.0,5.0,114.0,0.0,0.0,0,0.957983193277311,0.0,0.0,0.0,0.04201680672268908
RIL_23,1.0,0.0,1.0,2.0,38.0,75.0,0.0,4,0.31932773109243695,0.6302521008403361,0.0,0.03361344537815126,0.01680672268907563
RIL_24,0.0,1.0,1.0,2.0,116.0,0.0,0.0,1,0.9747899159663865,0.0,0.0,0.008403361344537815,0.01680672268907563
RIL_25,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0
RIL_26,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0,0.0,1.0,0.0,0.0,0.0
RIL_27,0.0,0.0,0.0,0.0,93.0,24.0,0.0,2,0.7815126050420168,0.20168067226890757,0.0,0.01680672268907563,0.0
RIL_28,0.0,0.0,1.0,1.0,0.0,118.0,0.0,0,0.0,0.9915966386554622,0.0,0.0,0.008403361344537815
RIL_30,0.0,0.0,2.0,2.0,0.0,117.0,0.0,0,0.0,0.9831932773109243,0.0,0.0,0.01680672268907563
RIL_31,0.0,1.0,1.0,2.0,117.0,0.0,0.0,0,0.9831932773109243,0.0,0.0,0.0,0.01680672268907563
RIL_32,0.0,0.0,1.0,1.0,118.0,0.0,0.0,0,0.9915966386554622,0.0,0.0,0.0,0.008403361344537815
RIL_33,0.0,0.0,0.0,0.0,89.0,28.0,0.0,2,0.7478991596638656,0.23529411764705882,0.0,0.01680672268907563,0.0
RIL_34,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0,0.0,1.0,0.0,0.0,0.0
RIL_35,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0,0.0,1.0,0.0,0.0,0.0
RIL_37,0.0,0.0,1.0,1.0,118.0,0.0,0.0,0,0.9915966386554622,0.0,0.0,0.0,0.008403361344537815
RIL_38,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0,0.0,1.0,0.0,0.0,0.0
RIL_39,0.0,3.0,23.0,26.0,78.0,0.0,4.0,11,0.6554621848739496,0.0,0.03361344537815126,0.09243697478991597,0.2184873949579832
RIL_40,2.0,0.0,0.0,2.0,0.0,114.0,0.0,3,0.0,0.957983193277311,0.0,0.025210084033613446,0.01680672268907563
RIL_41,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0,0.0,1.0,0.0,0.0,0.0
RIL_43,0.0,0.0,1.0,1.0,117.0,0.0,0.0,1,0.9831932773109243,0.0,0.0,0.008403361344537815,0.008403361344537815
RIL_45,0.0,3.0,4.0,7.0,107.0,0.0,0.0,5,0.8991596638655462,0.0,0.0,0.04201680672268908,0.058823529411764705
RIL_46,7.0,2.0,4.0,13.0,24.0,27.0,16.0,39,0.20168067226890757,0.226890756302521,0.13445378151260504,0.3277310924369748,0.1092436974789916
RIL_47,3.0,0.0,11.0,14.0,0.0,77.0,14.0,14,0.0,0.6470588235294118,0.11764705882352941,0.11764705882352941,0.11764705882352941
RIL_48,0.0,0.0,0.0,0.0,118.0,0.0,0.0,1,0.9915966386554622,0.0,0.0,0.008403361344537815,0.0
RIL_49,7.0,0.0,10.0,17.0,0.0,79.0,0.0,23,0.0,0.6638655462184874,0.0,0.19327731092436976,0.14285714285714285
RIL_50,1.0,0.0,0.0,1.0,0.0,108.0,0.0,10,0.0,0.907563025210084,0.0,0.08403361344537816,0.008403361344537815
